Inst,Opcode,c_pc_stall,c_next_state,c_pc_next,c_imem_addr_sel,c_adiw_phase,c_rd_rr_sel,c_alu_op,c_alu_a_sel,c_alu_b_sel,c_imm_type,c_pc_offset_mode,c_branch_mode,c_skip,c_ex_out_sel,c_flags_mask,c_ram_op,c_io_op,c_dbus_out_sel,c_dbus_addr_sel,c_new_sreg_sel,c_mem_out_sel,c_ram_adr_sel,c_rd_w_en,c_rh_sel,c_rh_op,c_sp_op,c_rampz_inc
LDZ+,1001000?????0001_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,rh,1,rh_z,inc,nop,0
LD-Z,1001000?????0010_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,rh,1,rh_z,dec,nop,0
LDZ+q,10?0??0?????0???_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,rh_q,1,rh_z,nop,nop,0
LDS (32),1001000?????0000_00,0,01,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,nop,nop,x,ram,sreg,dbus,x,0,x,nop,nop,0
,1001000?????0000_01,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,x,sreg,x,inst,1,x,nop,nop,0
LDS (16),10100???????????_00,0,00,next,pc,x,4bit,x,x,x,x,ld_addr_comp,x,0,x,00000000,read,nop,x,ram,sreg,dbus,inst7,1,x,nop,nop,0
LDI,1110????????????_00,0,00,next,pc,x,4bit,or,zero,imm,x,x,x,0,alu,00000000,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
IN,10110???????????_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,nop,read,x,imm_6,sreg,dbus,x,1,x,nop,nop,0
OUT,10111???????????_00,0,00,next,pc,x,5bit,or,rf,imm,zero,x,x,0,alu,00000000,nop,write,ex_out,imm_6,sreg,x,x,0,x,nop,nop,0
SBI,10011010????????_00,1,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,read,x,imm_5,sreg,dbus,x,0,x,nop,nop,0
,10011010????????_01,0,00,next,pc,x,x,or,temp,imm,mask_2_0,x,x,0,alu,00000000,nop,write,ex_out,imm_5,sreg,x,x,0,x,nop,nop,0
CBI,10011000????????_00,1,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,read,x,imm_5,sreg,dbus,x,0,x,nop,nop,0
,10011000????????_01,0,00,next,pc,x,x,and,temp,imm,mask_2_0,x,x,0,alu,00000000,nop,write,ex_out,imm_5,sreg,x,x,0,x,nop,nop,0
SBIC,10011001????????_00,1,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,read,x,imm_5,sreg,dbus,x,0,x,nop,nop,0
,10011001????????_01,0,10,next,pc,x,x,and,temp,imm,mask_2_0,x,z,1,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
,10011001????????_10,0,00,skip,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
SBIS,10011011????????_00,1,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,read,x,imm_5,sreg,dbus,x,0,x,nop,nop,0
,10011011????????_01,0,10,next,pc,x,x,and,temp,imm,mask_2_0,x,nz,1,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
,10011011????????_10,0,00,skip,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
SBRC,1111110?????0???_00,0,00,next,pc,x,5bit,and,rf,imm,mask_2_0,x,z,1,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
,1111110?????0???_01,0,00,skip,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
SBRS,1111111?????0???_00,0,00,next,pc,x,5bit,and,rf,imm,mask_2_0,x,nz,1,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
,1111111?????0???_01,0,00,skip,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
CPSE,000100??????????_00,0,00,next,pc,x,5bit,sub,rf,rf,x,x,z,1,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
,000100??????????_01,0,00,skip,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
NOP,0000000000000000_00,0,00,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
